Nombre Piloto,Abreviacion,Escuderia,Piloto,Piloto de Reserva,Carreras,NoCarreras
Jenson Button,BUT,MCM,True,False,Todas,19
Lewis Hamilton,HAM,MCM,True,False,Todas,19
Michael Schumacher,SCH,MER,True,False,Todas,19
Nico Rosberg,ROS,MER,True,False,Todas,19
Sebastian Vettel,VET,RBR,True,False,Todas,19
Mark Webber,WEB,RBR,True,False,Todas,19
Felipe Massa,MAS,FER,True,False,Todas,19
Fernando Alonso,ALO,FER,True,False,Todas,19
Rubens Barrichello,BAR,WIL,True,False,Todas,19
Nico Hülkenberg,HUL,WIL,True,False,Todas,19
Robert Kubica,KUB,REN,True,False,Todas,19
Vitaly Petrov,PET,REN,True,False,Todas,19
Adrian Sutil,SUT,FOR,True,False,Todas,19
Paul di Resta,RES,FOR,False,True,Ninguna,0
Vitantonio Liuzzi,LIU,FOR,True,False,Todas,19
Sébastien Buemi,BUE,TOR,True,False,Todas,19
Jaime Alguersuari,ALG,TOR,True,False,Todas,19
Jarno Trulli,TRU,LOT,True,False,Todas,19
Fairuz Fauzy,FAU,LOT,False,True,Ninguna,0
Heikki Kovalainen,KOV,LOT,True,False,Todas,19
Karun Chandhok,CHA,HRT,True,False,1–10,10
Christian Klien,KLI,HRT,True,True,15 | 18–19,3
Sakon Yamamoto,YAM,HRT,True,True,10 |11–14 | 16–17,7
Bruno Senna,SEN,HRT,True,False,1–9 | 11–19,18
Pedro de la Rosa,DLR,SAU,True,False,1–14,14
Nick Heidfeld,HEI,SAU,True,False,15–19,5
Kamui Kobayashi,KOB,SAU,True,False,Todas,19
Timo Glock,GLO,VIR,True,False,Todas,19
Jérôme d'Ambrosio,DAM,VIR,False,True,Ninguna,0
Lucas di Grassi,DIG,VIR,True,False,Todas,19
